sector,yyyymm,group,exp_usd,exp_wgt
K뷰티화장품,202606,기타미용(면도·탈취),nan,nan
K뷰티화장품,202606,세안·비누,nan,nan
K뷰티화장품,202606,헤어케어,nan,nan
K뷰티화장품,202606,향수,nan,nan
K뷰티화장품,202606,스킨케어·메이크업,nan,nan
K뷰티화장품,202605,기타미용(면도·탈취),92803307.0,10443664.0
K뷰티화장품,202605,세안·비누,55605974.0,4739155.0
K뷰티화장품,202605,헤어케어,42551159.0,5225436.0
K뷰티화장품,202605,향수,5818533.0,114479.0
K뷰티화장품,202605,스킨케어·메이크업,989462110.0,29284564.0
K뷰티화장품,202604,향수,8539595.0,220655.0
K뷰티화장품,202604,스킨케어·메이크업,1094569728.0,33900581.0
K뷰티화장품,202604,헤어케어,54323350.0,6753384.0
K뷰티화장품,202604,세안·비누,64718368.0,5641048.0
K뷰티화장품,202604,기타미용(면도·탈취),134909591.0,13032447.0
K뷰티화장품,202603,기타미용(면도·탈취),102604923.0,11471567.0
K뷰티화장품,202603,세안·비누,60915362.0,5500579.0
K뷰티화장품,202603,헤어케어,48781713.0,6007137.0
K뷰티화장품,202603,향수,7543207.0,191380.0
K뷰티화장품,202603,스킨케어·메이크업,969271907.0,29197900.0
K뷰티화장품,202602,기타미용(면도·탈취),69242633.0,8071576.0
K뷰티화장품,202602,세안·비누,47364721.0,4420541.0
K뷰티화장품,202602,헤어케어,42849604.0,5614618.0
K뷰티화장품,202602,향수,6304946.0,186740.0
K뷰티화장품,202602,스킨케어·메이크업,751575519.0,22949332.0
K뷰티화장품,202601,헤어케어,44114589.0,5630346.0
K뷰티화장품,202601,스킨케어·메이크업,841597855.0,25937775.0
K뷰티화장품,202601,향수,6613709.0,150600.0
K뷰티화장품,202601,세안·비누,50053280.0,5202712.0
K뷰티화장품,202601,기타미용(면도·탈취),86499081.0,9622028.0
K뷰티화장품,202512,기타미용(면도·탈취),79344958.0,8512669.0
K뷰티화장품,202512,세안·비누,53166406.0,5302338.0
K뷰티화장품,202512,헤어케어,47520001.0,5934533.0
K뷰티화장품,202512,향수,5668480.0,96772.0
K뷰티화장품,202512,스킨케어·메이크업,883670410.0,26960106.0
K뷰티화장품,202511,기타미용(면도·탈취),79275444.0,8855991.0
K뷰티화장품,202511,세안·비누,57863391.0,4452166.0
K뷰티화장품,202511,헤어케어,43645942.0,5248345.0
K뷰티화장품,202511,향수,5195421.0,84092.0
K뷰티화장품,202511,스킨케어·메이크업,764763301.0,23895701.0
K뷰티화장품,202510,향수,5089682.0,79333.0
K뷰티화장품,202510,스킨케어·메이크업,753261812.0,23653932.0
K뷰티화장품,202510,헤어케어,35993561.0,4406746.0
K뷰티화장품,202510,세안·비누,52357561.0,4165077.0
K뷰티화장품,202510,기타미용(면도·탈취),73443819.0,8036327.0
