sector,yyyymm,group,exp_usd,exp_wgt
K푸드,202606,음료,nan,nan
K푸드,202606,주류(소주 등),nan,nan
K푸드,202606,김치·조제채소,nan,nan
K푸드,202606,혼합조제식품(소스류),nan,nan
K푸드,202606,라면,nan,nan
K푸드,202605,음료,57353909.0,46834362.0
K푸드,202605,주류(소주 등),7675833.0,5012094.0
K푸드,202605,김치·조제채소,14192108.0,4209897.0
K푸드,202605,혼합조제식품(소스류),76892837.0,14979993.0
K푸드,202605,라면,163668371.0,39454558.0
K푸드,202604,혼합조제식품(소스류),93212175.0,17754939.0
K푸드,202604,라면,198442667.0,48972938.0
K푸드,202604,김치·조제채소,17788514.0,5017078.0
K푸드,202604,주류(소주 등),8028008.0,5502333.0
K푸드,202604,음료,77567762.0,65417287.0
K푸드,202603,음료,77836271.0,59925786.0
K푸드,202603,주류(소주 등),8630594.0,5871331.0
K푸드,202603,김치·조제채소,15104186.0,4244686.0
K푸드,202603,혼합조제식품(소스류),89876305.0,17851188.0
K푸드,202603,라면,176438879.0,43941352.0
K푸드,202602,음료,50346208.0,40287294.0
K푸드,202602,주류(소주 등),6048023.0,4620017.0
K푸드,202602,김치·조제채소,14330331.0,4136960.0
K푸드,202602,혼합조제식품(소스류),78821783.0,15984066.0
K푸드,202602,라면,150361518.0,37023715.0
K푸드,202601,김치·조제채소,14910000.0,4237894.0
K푸드,202601,라면,139213801.0,34847405.0
K푸드,202601,혼합조제식품(소스류),87419041.0,18269479.0
K푸드,202601,주류(소주 등),4077327.0,3006671.0
K푸드,202601,음료,54428255.0,39954438.0
K푸드,202512,음료,55450227.0,42819782.0
K푸드,202512,주류(소주 등),11006802.0,7990956.0
K푸드,202512,김치·조제채소,15524261.0,4377734.0
K푸드,202512,혼합조제식품(소스류),93046153.0,17262079.0
K푸드,202512,라면,150597924.0,37576273.0
K푸드,202511,음료,50691728.0,38840089.0
K푸드,202511,주류(소주 등),8992144.0,5639974.0
K푸드,202511,김치·조제채소,13670852.0,3945098.0
K푸드,202511,혼합조제식품(소스류),82205155.0,16913321.0
K푸드,202511,라면,133735597.0,34833201.0
K푸드,202510,혼합조제식품(소스류),71738340.0,13562054.0
K푸드,202510,라면,137341910.0,35205002.0
K푸드,202510,김치·조제채소,12721761.0,3642981.0
K푸드,202510,주류(소주 등),8478627.0,4918859.0
K푸드,202510,음료,53463158.0,40629770.0
K푸드,202509,음료,69629641.0,56431582.0
K푸드,202509,주류(소주 등),11089936.0,6828999.0
K푸드,202509,김치·조제채소,15825085.0,4414467.0
K푸드,202509,혼합조제식품(소스류),90678870.0,19182519.0
