sector,yyyymm,group,exp_usd,exp_wgt
방산,202606,군용기(FA-50 등)(*),nan,nan
방산,202606,전차·장갑차(K2·K9),nan,nan
방산,202606,탄약·완성유도탄,nan,nan
방산,202606,군용부품·탄약(미사일·신관·레이더),nan,nan
방산,202606,발사체계·완제품(천궁II·천무),nan,nan
방산,202605,군용기(FA-50 등)(*),11674554.0,711413.0
방산,202605,전차·장갑차(K2·K9),28870911.0,218504.0
방산,202605,탄약·완성유도탄,95451668.0,2090168.0
방산,202605,군용부품·탄약(미사일·신관·레이더),5130934.0,120008.0
방산,202605,발사체계·완제품(천궁II·천무),18260388.0,116150.0
방산,202604,군용부품·탄약(미사일·신관·레이더),158927205.0,1198555.0
방산,202604,발사체계·완제품(천궁II·천무),93935737.0,240638.0
방산,202604,탄약·완성유도탄,17430236.0,863544.0
방산,202604,전차·장갑차(K2·K9),10981850.0,383014.0
방산,202604,군용기(FA-50 등)(*),154360414.0,582995.0
방산,202603,군용기(FA-50 등)(*),2899877.0,230548.0
방산,202603,전차·장갑차(K2·K9),30026890.0,174252.0
방산,202603,탄약·완성유도탄,317585372.0,1847217.0
방산,202603,군용부품·탄약(미사일·신관·레이더),2103215.0,98440.0
방산,202603,발사체계·완제품(천궁II·천무),452856.0,175.0
방산,202602,군용기(FA-50 등)(*),602962.0,338448.0
방산,202602,전차·장갑차(K2·K9),59266376.0,461288.0
방산,202602,탄약·완성유도탄,126440211.0,1151448.0
방산,202602,군용부품·탄약(미사일·신관·레이더),46810371.0,376557.0
방산,202602,발사체계·완제품(천궁II·천무),113034694.0,364521.0
방산,202601,탄약·완성유도탄,167255281.0,1007877.0
방산,202601,발사체계·완제품(천궁II·천무),5504998.0,6631.0
방산,202601,군용부품·탄약(미사일·신관·레이더),22837435.0,222988.0
방산,202601,전차·장갑차(K2·K9),32860360.0,172916.0
방산,202601,군용기(FA-50 등)(*),97102071.0,166468.0
방산,202512,군용기(FA-50 등)(*),195725596.0,500402.0
방산,202512,전차·장갑차(K2·K9),55454352.0,321940.0
방산,202512,탄약·완성유도탄,231023532.0,1394052.0
방산,202512,군용부품·탄약(미사일·신관·레이더),1280328.0,76591.0
방산,202512,발사체계·완제품(천궁II·천무),18650.0,95.0
방산,202511,군용기(FA-50 등)(*),63173522.0,50484.0
방산,202511,전차·장갑차(K2·K9),60951770.0,520229.0
방산,202511,탄약·완성유도탄,121022202.0,2022412.0
방산,202511,군용부품·탄약(미사일·신관·레이더),112855897.0,934288.0
방산,202511,발사체계·완제품(천궁II·천무),19212413.0,116658.0
방산,202510,군용부품·탄약(미사일·신관·레이더),11989672.0,147267.0
방산,202510,발사체계·완제품(천궁II·천무),40124222.0,87919.0
방산,202510,탄약·완성유도탄,78821159.0,921007.0
방산,202510,전차·장갑차(K2·K9),24445844.0,353089.0
방산,202510,군용기(FA-50 등)(*),145921824.0,21161.0
방산,202509,군용기(FA-50 등)(*),87618977.0,1892.0
방산,202509,전차·장갑차(K2·K9),331071115.0,1527482.0
방산,202509,탄약·완성유도탄,191025745.0,3738336.0
방산,202509,군용부품·탄약(미사일·신관·레이더),80451027.0,928397.0
방산,202509,발사체계·완제품(천궁II·천무),160668518.0,401900.0
방산,202508,군용기(FA-50 등)(*),72952518.0,44520.0
방산,202508,전차·장갑차(K2·K9),37975221.0,234906.0
방산,202508,탄약·완성유도탄,30018657.0,889657.0
방산,202508,군용부품·탄약(미사일·신관·레이더),59070425.0,747892.0
방산,202508,발사체계·완제품(천궁II·천무),11387950.0,6462.0
방산,202507,탄약·완성유도탄,212311788.0,2014408.0
방산,202507,발사체계·완제품(천궁II·천무),2388712.0,3211.0
방산,202507,군용부품·탄약(미사일·신관·레이더),4149822.0,28831.0
방산,202507,군용기(FA-50 등)(*),59181537.0,50609.0
방산,202507,전차·장갑차(K2·K9),196202779.0,958444.0
방산,202506,군용기(FA-50 등)(*),76953288.0,218461.0
방산,202506,전차·장갑차(K2·K9),272594721.0,1038395.0
방산,202506,탄약·완성유도탄,161971924.0,1367540.0
방산,202506,군용부품·탄약(미사일·신관·레이더),75542376.0,1247432.0
방산,202506,발사체계·완제품(천궁II·천무),4291480.0,3775.0
방산,202505,군용기(FA-50 등)(*),192401421.0,211678.0
방산,202505,전차·장갑차(K2·K9),12719571.0,245126.0
방산,202505,탄약·완성유도탄,162121638.0,2688766.0
방산,202505,군용부품·탄약(미사일·신관·레이더),2959372.0,9695.0
방산,202505,발사체계·완제품(천궁II·천무),60865949.0,145910.0
방산,202504,군용부품·탄약(미사일·신관·레이더),68915.0,155.0
방산,202504,발사체계·완제품(천궁II·천무),45741211.0,120829.0
방산,202504,탄약·완성유도탄,232702073.0,2500994.0
방산,202504,전차·장갑차(K2·K9),171815824.0,862882.0
방산,202504,군용기(FA-50 등)(*),135221400.0,215658.0
방산,202503,군용기(FA-50 등)(*),80346224.0,1826.0
방산,202503,전차·장갑차(K2·K9),214353395.0,958671.0
방산,202503,탄약·완성유도탄,11050242.0,511012.0
방산,202503,군용부품·탄약(미사일·신관·레이더),31561698.0,252833.0
방산,202503,발사체계·완제품(천궁II·천무),151452.0,170.0
방산,202502,군용기(FA-50 등)(*),16455.0,16.0
방산,202502,전차·장갑차(K2·K9),7355103.0,143007.0
방산,202502,탄약·완성유도탄,184754870.0,1352835.0
방산,202502,군용부품·탄약(미사일·신관·레이더),7927975.0,60096.0
방산,202502,발사체계·완제품(천궁II·천무),89685045.0,240768.0
방산,202501,탄약·완성유도탄,33219811.0,374638.0
방산,202501,발사체계·완제품(천궁II·천무),265604.0,160.0
방산,202501,군용부품·탄약(미사일·신관·레이더),1168149.0,8676.0
방산,202501,군용기(FA-50 등)(*),194178978.0,221626.0
방산,202501,전차·장갑차(K2·K9),175391449.0,778002.0
방산,202412,군용기(FA-50 등)(*),3664494.0,14727.0
방산,202412,전차·장갑차(K2·K9),288405082.0,1552553.0
방산,202412,탄약·완성유도탄,146465027.0,2619004.0
방산,202412,군용부품·탄약(미사일·신관·레이더),6185791.0,59747.0
