sector,yyyymm,group,exp_usd,exp_wgt
석유화학,202606,PVC·기타수지,nan,nan
석유화학,202606,PP,nan,nan
석유화학,202606,PE,nan,nan
석유화학,202606,방향족(벤젠·자일렌),nan,nan
석유화학,202606,올레핀(에틸렌·프로필렌),nan,nan
석유화학,202605,PVC·기타수지,206783403.0,123381181.0
석유화학,202605,PP,149270655.0,87345991.0
석유화학,202605,PE,213481993.0,123915064.0
석유화학,202605,방향족(벤젠·자일렌),180800691.0,167522704.0
석유화학,202605,올레핀(에틸렌·프로필렌),185396140.0,153954695.0
석유화학,202604,방향족(벤젠·자일렌),152265049.0,138214118.0
석유화학,202604,올레핀(에틸렌·프로필렌),176253937.0,158037642.0
석유화학,202604,PE,226403436.0,144828059.0
석유화학,202604,PP,166974501.0,109563705.0
석유화학,202604,PVC·기타수지,220695192.0,141921676.0
석유화학,202603,PVC·기타수지,203294342.0,155362092.0
석유화학,202603,PP,145250003.0,128307858.0
석유화학,202603,PE,181332708.0,155160888.0
석유화학,202603,방향족(벤젠·자일렌),258280835.0,262586246.0
석유화학,202603,올레핀(에틸렌·프로필렌),229173491.0,240136439.0
석유화학,202602,PVC·기타수지,169432750.0,142671408.0
석유화학,202602,PP,154921524.0,151166247.0
석유화학,202602,PE,202368217.0,193293057.0
석유화학,202602,방향족(벤젠·자일렌),143472918.0,188129209.0
석유화학,202602,올레핀(에틸렌·프로필렌),208370640.0,293252011.0
석유화학,202601,PE,191499244.0,179639318.0
석유화학,202601,올레핀(에틸렌·프로필렌),197693939.0,285115010.0
석유화학,202601,방향족(벤젠·자일렌),169986207.0,232709518.0
석유화학,202601,PP,150797253.0,146578281.0
석유화학,202601,PVC·기타수지,181386385.0,157629717.0
석유화학,202512,PVC·기타수지,196355252.0,171606827.0
석유화학,202512,PP,148330646.0,143814288.0
석유화학,202512,PE,202502075.0,193109044.0
석유화학,202512,방향족(벤젠·자일렌),201210686.0,298134484.0
석유화학,202512,올레핀(에틸렌·프로필렌),206585525.0,294806251.0
석유화학,202511,PVC·기타수지,155034396.0,120876693.0
석유화학,202511,PP,128246253.0,119957266.0
석유화학,202511,PE,178455310.0,166767151.0
석유화학,202511,방향족(벤젠·자일렌),158254645.0,237768561.0
석유화학,202511,올레핀(에틸렌·프로필렌),178878435.0,252388473.0
석유화학,202510,방향족(벤젠·자일렌),167983069.0,242803041.0
석유화학,202510,올레핀(에틸렌·프로필렌),243078823.0,323796880.0
석유화학,202510,PE,187167186.0,173930770.0
석유화학,202510,PP,143431523.0,135534333.0
석유화학,202510,PVC·기타수지,148357835.0,112054609.0
석유화학,202509,PVC·기타수지,199989311.0,156111959.0
석유화학,202509,PP,172654903.0,160926820.0
석유화학,202509,PE,234012179.0,216479461.0
석유화학,202509,방향족(벤젠·자일렌),200646879.0,275725869.0
석유화학,202509,올레핀(에틸렌·프로필렌),254530784.0,325725301.0
석유화학,202508,PVC·기타수지,171155876.0,133930427.0
석유화학,202508,PP,153607997.0,144338226.0
석유화학,202508,PE,209496504.0,192156441.0
석유화학,202508,방향족(벤젠·자일렌),148364142.0,198435092.0
석유화학,202508,올레핀(에틸렌·프로필렌),273014364.0,361286853.0
석유화학,202507,PE,237548531.0,217608559.0
석유화학,202507,올레핀(에틸렌·프로필렌),271594575.0,355979365.0
석유화학,202507,방향족(벤젠·자일렌),187246852.0,251423273.0
석유화학,202507,PVC·기타수지,192861597.0,153123037.0
석유화학,202507,PP,195920431.0,182649738.0
석유화학,202506,PVC·기타수지,164255619.0,125821151.0
석유화학,202506,PP,154980404.0,142471611.0
석유화학,202506,PE,198422254.0,179534368.0
석유화학,202506,방향족(벤젠·자일렌),160143212.0,214975083.0
석유화학,202506,올레핀(에틸렌·프로필렌),253871717.0,338628701.0
석유화학,202505,PVC·기타수지,163310515.0,123306208.0
석유화학,202505,PP,151203775.0,136103961.0
석유화학,202505,PE,198641501.0,175019969.0
석유화학,202505,방향족(벤젠·자일렌),136022445.0,185777858.0
석유화학,202505,올레핀(에틸렌·프로필렌),240105215.0,316207707.0
석유화학,202504,방향족(벤젠·자일렌),188091474.0,246726729.0
석유화학,202504,올레핀(에틸렌·프로필렌),215075495.0,272687179.0
석유화학,202504,PE,228972293.0,196547525.0
석유화학,202504,PP,200888151.0,177757294.0
석유화학,202504,PVC·기타수지,196961020.0,146806954.0
석유화학,202503,PVC·기타수지,167456671.0,122688433.0
석유화학,202503,PP,161854696.0,141443800.0
석유화학,202503,PE,197605383.0,171348887.0
석유화학,202503,방향족(벤젠·자일렌),258681611.0,312603323.0
석유화학,202503,올레핀(에틸렌·프로필렌),220927079.0,268932345.0
석유화학,202502,PVC·기타수지,196741038.0,150345851.0
석유화학,202502,PP,164006109.0,147312625.0
석유화학,202502,PE,216821879.0,191781746.0
석유화학,202502,방향족(벤젠·자일렌),237772384.0,271567746.0
석유화학,202502,올레핀(에틸렌·프로필렌),223301786.0,269315149.0
석유화학,202501,PE,185612486.0,165664211.0
석유화학,202501,올레핀(에틸렌·프로필렌),260265395.0,315341902.0
석유화학,202501,방향족(벤젠·자일렌),259296302.0,291108419.0
석유화학,202501,PVC·기타수지,170822773.0,129729957.0
석유화학,202501,PP,137380365.0,123343849.0
석유화학,202412,PVC·기타수지,171678064.0,127517455.0
석유화학,202412,PP,187124869.0,172309429.0
석유화학,202412,PE,206512546.0,181508073.0
석유화학,202412,방향족(벤젠·자일렌),268169943.0,298902160.0
석유화학,202412,올레핀(에틸렌·프로필렌),282949240.0,345522879.0
석유화학,202411,PVC·기타수지,176285511.0,131653704.0
석유화학,202411,PP,173868105.0,157594512.0
석유화학,202411,PE,188341538.0,165384935.0
석유화학,202411,방향족(벤젠·자일렌),204984452.0,225787371.0
석유화학,202411,올레핀(에틸렌·프로필렌),235762397.0,289377941.0
석유화학,202410,PE,219308927.0,195612247.0
석유화학,202410,올레핀(에틸렌·프로필렌),285567001.0,355600475.0
석유화학,202410,방향족(벤젠·자일렌),278816519.0,296271309.0
석유화학,202410,PVC·기타수지,192059563.0,146800456.0
석유화학,202410,PP,184276326.0,168767193.0
석유화학,202409,PVC·기타수지,184375138.0,139585764.0
석유화학,202409,PP,173463634.0,159521768.0
석유화학,202409,PE,202422055.0,180060194.0
석유화학,202409,방향족(벤젠·자일렌),251534300.0,260000380.0
석유화학,202409,올레핀(에틸렌·프로필렌),276354656.0,336810194.0
석유화학,202408,PE,218535700.0,192304126.0
석유화학,202408,올레핀(에틸렌·프로필렌),275708284.0,330876047.0
석유화학,202408,방향족(벤젠·자일렌),304296478.0,301140931.0
석유화학,202408,PP,152227448.0,135638941.0
석유화학,202408,PVC·기타수지,177031856.0,127562921.0
석유화학,202407,PVC·기타수지,179902535.0,127404545.0
석유화학,202407,PP,169671025.0,154291840.0
석유화학,202407,PE,228331615.0,197949604.0
석유화학,202407,방향족(벤젠·자일렌),233463239.0,227890580.0
석유화학,202407,올레핀(에틸렌·프로필렌),245534291.0,300235716.0
석유화학,202406,PVC·기타수지,171577599.0,118539546.0
석유화학,202406,PP,168513790.0,151722692.0
석유화학,202406,PE,233601985.0,200860457.0
석유화학,202406,방향족(벤젠·자일렌),233108618.0,222689031.0
석유화학,202406,올레핀(에틸렌·프로필렌),215110202.0,267040578.0
석유화학,202405,방향족(벤젠·자일렌),212241420.0,199421712.0
석유화학,202405,올레핀(에틸렌·프로필렌),243906995.0,298943022.0
석유화학,202405,PE,248539781.0,212663462.0
석유화학,202405,PP,186131050.0,166753327.0
석유화학,202405,PVC·기타수지,190213055.0,143665247.0
석유화학,202404,PVC·기타수지,202119141.0,150940161.0
석유화학,202404,PP,191841256.0,169309449.0
석유화학,202404,PE,236741519.0,201658777.0
석유화학,202404,방향족(벤젠·자일렌),235324052.0,220139118.0
석유화학,202404,올레핀(에틸렌·프로필렌),276522632.0,322714882.0
석유화학,202403,PVC·기타수지,179452331.0,137640025.0
석유화학,202403,PP,185027143.0,162269641.0
석유화학,202403,PE,232077807.0,198171289.0
석유화학,202403,방향족(벤젠·자일렌),283103896.0,267853268.0
석유화학,202403,올레핀(에틸렌·프로필렌),213804341.0,252553238.0
석유화학,202402,PE,234208986.0,206339526.0
석유화학,202402,올레핀(에틸렌·프로필렌),186632886.0,222675060.0
석유화학,202402,방향족(벤젠·자일렌),259642769.0,255934658.0
석유화학,202402,PVC·기타수지,182184476.0,140617625.0
석유화학,202402,PP,181249881.0,165522394.0
석유화학,202401,PVC·기타수지,191363520.0,153009572.0
석유화학,202401,PP,165842844.0,154353120.0
석유화학,202401,PE,235159542.0,210958913.0
석유화학,202401,방향족(벤젠·자일렌),242255865.0,258090572.0
석유화학,202401,올레핀(에틸렌·프로필렌),227257845.0,275630566.0
석유화학,202312,PVC·기타수지,160524943.0,131765140.0
