sector,yyyymm,group,exp_usd,exp_wgt
엔터·K콘텐츠,202606,화보·인쇄물(*),nan,nan
엔터·K콘텐츠,202606,기타 기록매체,nan,nan
엔터·K콘텐츠,202606,음반(광디스크),nan,nan
엔터·K콘텐츠,202605,화보·인쇄물(*),25545666.0,3162763.0
엔터·K콘텐츠,202605,기타 기록매체,1764925.0,37481.0
엔터·K콘텐츠,202605,음반(광디스크),51979695.0,1040320.0
엔터·K콘텐츠,202604,화보·인쇄물(*),30967087.0,4152856.0
엔터·K콘텐츠,202604,기타 기록매체,4166206.0,63513.0
엔터·K콘텐츠,202604,음반(광디스크),58087928.0,1099642.0
엔터·K콘텐츠,202603,화보·인쇄물(*),20851614.0,2784967.0
엔터·K콘텐츠,202603,기타 기록매체,2037527.0,36281.0
엔터·K콘텐츠,202603,음반(광디스크),59379670.0,1624735.0
엔터·K콘텐츠,202602,화보·인쇄물(*),16919693.0,1876205.0
엔터·K콘텐츠,202602,기타 기록매체,6201685.0,122479.0
엔터·K콘텐츠,202602,음반(광디스크),48626890.0,1648418.0
엔터·K콘텐츠,202601,음반(광디스크),43763499.0,1419477.0
엔터·K콘텐츠,202601,기타 기록매체,3379195.0,67224.0
엔터·K콘텐츠,202601,화보·인쇄물(*),25855330.0,2576852.0
엔터·K콘텐츠,202512,화보·인쇄물(*),23481602.0,2364926.0
엔터·K콘텐츠,202512,기타 기록매체,3742781.0,17637.0
엔터·K콘텐츠,202512,음반(광디스크),55989537.0,1251091.0
엔터·K콘텐츠,202511,화보·인쇄물(*),22486087.0,2139146.0
엔터·K콘텐츠,202511,기타 기록매체,2711180.0,26618.0
엔터·K콘텐츠,202511,음반(광디스크),34180455.0,791612.0
엔터·K콘텐츠,202510,기타 기록매체,2394599.0,47669.0
엔터·K콘텐츠,202510,화보·인쇄물(*),29008917.0,2477362.0
엔터·K콘텐츠,202510,음반(광디스크),42752768.0,1076993.0
엔터·K콘텐츠,202509,화보·인쇄물(*),28496660.0,2439693.0
엔터·K콘텐츠,202509,기타 기록매체,3692320.0,56245.0
엔터·K콘텐츠,202509,음반(광디스크),61953852.0,1580539.0
엔터·K콘텐츠,202508,음반(광디스크),47600655.0,1085340.0
엔터·K콘텐츠,202508,화보·인쇄물(*),17286581.0,2562491.0
엔터·K콘텐츠,202508,기타 기록매체,1793706.0,21981.0
엔터·K콘텐츠,202507,기타 기록매체,3386281.0,33826.0
엔터·K콘텐츠,202507,음반(광디스크),47279147.0,1310706.0
엔터·K콘텐츠,202507,화보·인쇄물(*),37457159.0,3974420.0
엔터·K콘텐츠,202506,화보·인쇄물(*),34804595.0,4280405.0
엔터·K콘텐츠,202506,기타 기록매체,1151987.0,7218.0
엔터·K콘텐츠,202506,음반(광디스크),41824074.0,1055696.0
엔터·K콘텐츠,202505,화보·인쇄물(*),36149786.0,4311892.0
엔터·K콘텐츠,202505,기타 기록매체,1628462.0,18934.0
엔터·K콘텐츠,202505,음반(광디스크),41708044.0,1343784.0
엔터·K콘텐츠,202504,음반(광디스크),32335763.0,1440758.0
엔터·K콘텐츠,202504,기타 기록매체,2127443.0,81089.0
엔터·K콘텐츠,202504,화보·인쇄물(*),34310345.0,3873153.0
엔터·K콘텐츠,202503,화보·인쇄물(*),29551695.0,2501400.0
엔터·K콘텐츠,202503,기타 기록매체,2790069.0,48459.0
엔터·K콘텐츠,202503,음반(광디스크),26693890.0,671419.0
엔터·K콘텐츠,202502,화보·인쇄물(*),27122398.0,3719491.0
엔터·K콘텐츠,202502,기타 기록매체,2042391.0,32142.0
엔터·K콘텐츠,202502,음반(광디스크),35379023.0,836634.0
엔터·K콘텐츠,202501,기타 기록매체,1645377.0,26594.0
엔터·K콘텐츠,202501,음반(광디스크),19239554.0,693445.0
엔터·K콘텐츠,202501,화보·인쇄물(*),19479257.0,1503253.0
엔터·K콘텐츠,202412,화보·인쇄물(*),39692392.0,2557286.0
엔터·K콘텐츠,202412,기타 기록매체,2946587.0,20006.0
엔터·K콘텐츠,202412,음반(광디스크),42698059.0,892685.0
엔터·K콘텐츠,202411,화보·인쇄물(*),41765087.0,4519327.0
엔터·K콘텐츠,202411,기타 기록매체,2419515.0,37664.0
엔터·K콘텐츠,202411,음반(광디스크),35574945.0,790682.0
엔터·K콘텐츠,202410,화보·인쇄물(*),31842945.0,3695872.0
엔터·K콘텐츠,202410,기타 기록매체,1906346.0,22174.0
엔터·K콘텐츠,202410,음반(광디스크),57191452.0,2057944.0
엔터·K콘텐츠,202409,음반(광디스크),48829153.0,1264615.0
엔터·K콘텐츠,202409,화보·인쇄물(*),31716789.0,4519151.0
엔터·K콘텐츠,202409,기타 기록매체,58881162.0,33333.0
엔터·K콘텐츠,202408,기타 기록매체,14515060.0,19445.0
엔터·K콘텐츠,202408,음반(광디스크),37656612.0,1060764.0
엔터·K콘텐츠,202408,화보·인쇄물(*),18864059.0,2199791.0
엔터·K콘텐츠,202407,화보·인쇄물(*),30309394.0,2668279.0
엔터·K콘텐츠,202407,기타 기록매체,2930587.0,36219.0
엔터·K콘텐츠,202407,음반(광디스크),44978432.0,1269951.0
엔터·K콘텐츠,202406,화보·인쇄물(*),40817487.0,3856064.0
엔터·K콘텐츠,202406,기타 기록매체,6388107.0,34957.0
엔터·K콘텐츠,202406,음반(광디스크),51702968.0,1480815.0
엔터·K콘텐츠,202405,음반(광디스크),38520060.0,1460615.0
엔터·K콘텐츠,202405,기타 기록매체,2311462.0,32336.0
엔터·K콘텐츠,202405,화보·인쇄물(*),23528946.0,2227656.0
엔터·K콘텐츠,202404,화보·인쇄물(*),26445523.0,2266922.0
엔터·K콘텐츠,202404,기타 기록매체,2167494.0,41974.0
엔터·K콘텐츠,202404,음반(광디스크),32075786.0,1647507.0
엔터·K콘텐츠,202403,화보·인쇄물(*),16195395.0,1809050.0
엔터·K콘텐츠,202403,기타 기록매체,1626566.0,22120.0
엔터·K콘텐츠,202403,음반(광디스크),42438893.0,1888767.0
엔터·K콘텐츠,202402,기타 기록매체,1719404.0,26013.0
엔터·K콘텐츠,202402,음반(광디스크),23789762.0,995156.0
엔터·K콘텐츠,202402,화보·인쇄물(*),21688028.0,2394445.0
엔터·K콘텐츠,202401,화보·인쇄물(*),23049030.0,2294790.0
엔터·K콘텐츠,202401,기타 기록매체,2506277.0,31511.0
엔터·K콘텐츠,202401,음반(광디스크),28736782.0,1108672.0
엔터·K콘텐츠,202312,화보·인쇄물(*),27137785.0,2719710.0
엔터·K콘텐츠,202312,기타 기록매체,2390871.0,20916.0
엔터·K콘텐츠,202312,음반(광디스크),43925626.0,791874.0
엔터·K콘텐츠,202311,화보·인쇄물(*),39509475.0,4252115.0
엔터·K콘텐츠,202311,기타 기록매체,2372663.0,34506.0
엔터·K콘텐츠,202311,음반(광디스크),44292792.0,1237447.0
엔터·K콘텐츠,202310,음반(광디스크),36697128.0,1214482.0
엔터·K콘텐츠,202310,화보·인쇄물(*),34600273.0,4274087.0
엔터·K콘텐츠,202310,기타 기록매체,1388667.0,25404.0
엔터·K콘텐츠,202309,기타 기록매체,1778951.0,32062.0
엔터·K콘텐츠,202309,음반(광디스크),48887147.0,2250126.0
엔터·K콘텐츠,202309,화보·인쇄물(*),28831668.0,2583896.0
엔터·K콘텐츠,202308,화보·인쇄물(*),37818902.0,5457784.0
엔터·K콘텐츠,202308,기타 기록매체,3549539.0,40162.0
엔터·K콘텐츠,202308,음반(광디스크),36755465.0,1820608.0
엔터·K콘텐츠,202307,화보·인쇄물(*),42534553.0,3802251.0
엔터·K콘텐츠,202307,기타 기록매체,5217887.0,58735.0
엔터·K콘텐츠,202307,음반(광디스크),45452721.0,1863540.0
엔터·K콘텐츠,202306,화보·인쇄물(*),34523329.0,2499304.0
엔터·K콘텐츠,202306,기타 기록매체,2041413.0,47497.0
엔터·K콘텐츠,202306,음반(광디스크),39295477.0,1799116.0
엔터·K콘텐츠,202305,화보·인쇄물(*),32161851.0,2094075.0
엔터·K콘텐츠,202305,기타 기록매체,2892572.0,38116.0
엔터·K콘텐츠,202305,음반(광디스크),39228546.0,1110398.0
엔터·K콘텐츠,202304,음반(광디스크),43067805.0,1672564.0
엔터·K콘텐츠,202304,기타 기록매체,2296587.0,49200.0
엔터·K콘텐츠,202304,화보·인쇄물(*),39672267.0,2337365.0
엔터·K콘텐츠,202303,화보·인쇄물(*),32227322.0,2686399.0
엔터·K콘텐츠,202303,기타 기록매체,1603340.0,19328.0
엔터·K콘텐츠,202303,음반(광디스크),40757220.0,1408140.0
엔터·K콘텐츠,202302,화보·인쇄물(*),27162784.0,2950894.0
엔터·K콘텐츠,202302,기타 기록매체,1898039.0,44777.0
엔터·K콘텐츠,202302,음반(광디스크),33606214.0,1050738.0
엔터·K콘텐츠,202301,화보·인쇄물(*),18119815.0,1716605.0
엔터·K콘텐츠,202301,기타 기록매체,3716162.0,21596.0
엔터·K콘텐츠,202301,음반(광디스크),59178464.0,871700.0
엔터·K콘텐츠,202212,화보·인쇄물(*),26634551.0,2773559.0
엔터·K콘텐츠,202212,기타 기록매체,5928904.0,28400.0
엔터·K콘텐츠,202212,음반(광디스크),39893387.0,1051398.0
엔터·K콘텐츠,202211,화보·인쇄물(*),29371108.0,3103395.0
엔터·K콘텐츠,202211,음반(광디스크),43092574.0,904491.0
엔터·K콘텐츠,202211,기타 기록매체,2168622.0,27198.0
엔터·K콘텐츠,202210,기타 기록매체,2196383.0,28114.0
엔터·K콘텐츠,202210,화보·인쇄물(*),32015900.0,4290992.0
엔터·K콘텐츠,202210,음반(광디스크),41032526.0,1291240.0
엔터·K콘텐츠,202209,화보·인쇄물(*),27355253.0,3075799.0
엔터·K콘텐츠,202209,기타 기록매체,3720407.0,32617.0
엔터·K콘텐츠,202209,음반(광디스크),57245397.0,1501913.0
엔터·K콘텐츠,202208,화보·인쇄물(*),25110747.0,3202338.0
엔터·K콘텐츠,202208,기타 기록매체,3848294.0,26160.0
엔터·K콘텐츠,202208,음반(광디스크),48993677.0,1623368.0
엔터·K콘텐츠,202207,화보·인쇄물(*),27028235.0,3246201.0
엔터·K콘텐츠,202207,기타 기록매체,3333073.0,33279.0
엔터·K콘텐츠,202207,음반(광디스크),68958555.0,1272312.0
엔터·K콘텐츠,202206,화보·인쇄물(*),25678592.0,2558152.0
엔터·K콘텐츠,202206,기타 기록매체,3052104.0,36159.0
엔터·K콘텐츠,202206,음반(광디스크),82183740.0,1845995.0
엔터·K콘텐츠,202205,화보·인쇄물(*),20689058.0,3342585.0
엔터·K콘텐츠,202205,기타 기록매체,3768782.0,33513.0
엔터·K콘텐츠,202205,음반(광디스크),86636802.0,2080785.0
엔터·K콘텐츠,202204,음반(광디스크),55418526.0,1957596.0
엔터·K콘텐츠,202204,기타 기록매체,1607834.0,20077.0
엔터·K콘텐츠,202204,화보·인쇄물(*),23665269.0,3311314.0
엔터·K콘텐츠,202203,화보·인쇄물(*),24767460.0,2693642.0
엔터·K콘텐츠,202203,기타 기록매체,1838669.0,33000.0
엔터·K콘텐츠,202203,음반(광디스크),109512496.0,876053.0
엔터·K콘텐츠,202202,화보·인쇄물(*),15670658.0,2435971.0
엔터·K콘텐츠,202202,기타 기록매체,3431424.0,26880.0
엔터·K콘텐츠,202202,음반(광디스크),32133466.0,469510.0
엔터·K콘텐츠,202201,기타 기록매체,3278893.0,65275.0
엔터·K콘텐츠,202201,화보·인쇄물(*),15978619.0,2123718.0
엔터·K콘텐츠,202201,음반(광디스크),44147867.0,630969.0
엔터·K콘텐츠,202112,화보·인쇄물(*),17873461.0,2272661.0
엔터·K콘텐츠,202112,기타 기록매체,4791341.0,55455.0
엔터·K콘텐츠,202112,음반(광디스크),38468462.0,880330.0
엔터·K콘텐츠,202111,음반(광디스크),34114787.0,691436.0
엔터·K콘텐츠,202111,화보·인쇄물(*),20090976.0,2658566.0
엔터·K콘텐츠,202111,기타 기록매체,3515210.0,110657.0
엔터·K콘텐츠,202110,기타 기록매체,2696650.0,73036.0
엔터·K콘텐츠,202110,음반(광디스크),72283572.0,1059974.0
엔터·K콘텐츠,202110,화보·인쇄물(*),20723132.0,2655964.0
엔터·K콘텐츠,202109,화보·인쇄물(*),18406893.0,2193845.0
엔터·K콘텐츠,202109,기타 기록매체,4052109.0,151964.0
엔터·K콘텐츠,202109,음반(광디스크),59291093.0,1538047.0
엔터·K콘텐츠,202108,화보·인쇄물(*),17845335.0,2485810.0
엔터·K콘텐츠,202108,기타 기록매체,4952832.0,170758.0
엔터·K콘텐츠,202108,음반(광디스크),43018528.0,929459.0
엔터·K콘텐츠,202107,음반(광디스크),81891432.0,1135960.0
엔터·K콘텐츠,202107,기타 기록매체,4071123.0,70179.0
엔터·K콘텐츠,202107,화보·인쇄물(*),19319588.0,3162029.0
엔터·K콘텐츠,202106,화보·인쇄물(*),24565608.0,3100974.0
엔터·K콘텐츠,202106,기타 기록매체,2353780.0,48749.0
엔터·K콘텐츠,202106,음반(광디스크),62114470.0,1201556.0
엔터·K콘텐츠,202105,화보·인쇄물(*),21042963.0,3191530.0
엔터·K콘텐츠,202105,음반(광디스크),48639202.0,1205796.0
엔터·K콘텐츠,202105,기타 기록매체,2532625.0,26183.0
엔터·K콘텐츠,202104,기타 기록매체,3139047.0,47401.0
엔터·K콘텐츠,202104,음반(광디스크),68659972.0,874391.0
엔터·K콘텐츠,202104,화보·인쇄물(*),18606603.0,2054949.0
엔터·K콘텐츠,202103,화보·인쇄물(*),118357160.0,2200805.0
엔터·K콘텐츠,202103,기타 기록매체,1925337.0,16389.0
엔터·K콘텐츠,202103,음반(광디스크),94328695.0,631276.0
엔터·K콘텐츠,202102,화보·인쇄물(*),17674594.0,2231171.0
엔터·K콘텐츠,202102,기타 기록매체,1731346.0,51505.0
엔터·K콘텐츠,202102,음반(광디스크),41682342.0,435132.0
엔터·K콘텐츠,202101,화보·인쇄물(*),12260452.0,1664208.0
엔터·K콘텐츠,202101,기타 기록매체,2638403.0,100268.0
엔터·K콘텐츠,202101,음반(광디스크),28792876.0,622874.0
엔터·K콘텐츠,202012,기타 기록매체,2619613.0,46912.0
엔터·K콘텐츠,202012,음반(광디스크),31909009.0,652113.0
엔터·K콘텐츠,202012,화보·인쇄물(*),34824738.0,1719878.0
엔터·K콘텐츠,202011,음반(광디스크),49449573.0,975275.0
엔터·K콘텐츠,202011,기타 기록매체,3269650.0,43367.0
엔터·K콘텐츠,202011,화보·인쇄물(*),123778935.0,2146300.0
엔터·K콘텐츠,202010,화보·인쇄물(*),16494122.0,2125943.0
엔터·K콘텐츠,202010,기타 기록매체,2228725.0,115378.0
엔터·K콘텐츠,202010,음반(광디스크),50433959.0,1708511.0
엔터·K콘텐츠,202009,화보·인쇄물(*),13803115.0,2264795.0
엔터·K콘텐츠,202009,기타 기록매체,4877307.0,335012.0
엔터·K콘텐츠,202009,음반(광디스크),43819753.0,1407380.0
엔터·K콘텐츠,202008,화보·인쇄물(*),9498560.0,1603952.0
엔터·K콘텐츠,202008,기타 기록매체,5162748.0,288694.0
엔터·K콘텐츠,202008,음반(광디스크),27320593.0,590220.0
엔터·K콘텐츠,202007,화보·인쇄물(*),11894551.0,2201956.0
엔터·K콘텐츠,202007,기타 기록매체,1236223.0,30465.0
엔터·K콘텐츠,202007,음반(광디스크),22017164.0,460256.0
엔터·K콘텐츠,202006,음반(광디스크),32207030.0,937808.0
엔터·K콘텐츠,202006,기타 기록매체,2815442.0,16321.0
엔터·K콘텐츠,202006,화보·인쇄물(*),13539843.0,1870904.0
엔터·K콘텐츠,202005,화보·인쇄물(*),8157035.0,1504671.0
엔터·K콘텐츠,202005,기타 기록매체,1458942.0,56964.0
엔터·K콘텐츠,202005,음반(광디스크),18773073.0,419626.0
엔터·K콘텐츠,202004,화보·인쇄물(*),9765074.0,2077566.0
엔터·K콘텐츠,202004,기타 기록매체,1036633.0,6437.0
엔터·K콘텐츠,202004,음반(광디스크),14169854.0,346299.0
엔터·K콘텐츠,202003,화보·인쇄물(*),12493181.0,2154520.0
엔터·K콘텐츠,202003,기타 기록매체,4467160.0,20339.0
엔터·K콘텐츠,202003,음반(광디스크),92184448.0,402012.0
엔터·K콘텐츠,202002,화보·인쇄물(*),10909138.0,2145919.0
엔터·K콘텐츠,202002,기타 기록매체,2653694.0,76264.0
엔터·K콘텐츠,202002,음반(광디스크),64520105.0,946217.0
엔터·K콘텐츠,202001,기타 기록매체,2699973.0,36410.0
엔터·K콘텐츠,202001,음반(광디스크),23745974.0,1213894.0
