sector,yyyymm,group,exp_usd,exp_wgt
의료기기,202606,치과용,nan,nan
의료기기,202606,초음파·진단,nan,nan
의료기기,202606,CT,nan,nan
의료기기,202606,인공관절,nan,nan
의료기기,202606,정형외과·골절치료 기기,nan,nan
의료기기,202606,기타 의료기기,nan,nan
의료기기,202605,치과용,17970734.0,231168.0
의료기기,202605,초음파·진단,74803480.0,341908.0
의료기기,202605,CT,3463360.0,43086.0
의료기기,202605,인공관절,1424729.0,1722.0
의료기기,202605,정형외과·골절치료 기기,2607338.0,49440.0
의료기기,202605,기타 의료기기,95432540.0,535378.0
의료기기,202604,CT,2735967.0,41136.0
의료기기,202604,기타 의료기기,88735926.0,510177.0
의료기기,202604,정형외과·골절치료 기기,2332806.0,40349.0
의료기기,202604,인공관절,2050111.0,1993.0
의료기기,202604,치과용,20233656.0,239329.0
의료기기,202604,초음파·진단,92965607.0,472832.0
의료기기,202603,기타 의료기기,131145224.0,742292.0
의료기기,202603,치과용,23386939.0,174669.0
의료기기,202603,초음파·진단,82291495.0,377536.0
의료기기,202603,CT,2178740.0,37786.0
의료기기,202603,인공관절,1767006.0,2439.0
의료기기,202603,정형외과·골절치료 기기,2210401.0,41868.0
의료기기,202602,치과용,16374432.0,169259.0
의료기기,202602,초음파·진단,68390964.0,349340.0
의료기기,202602,CT,1880261.0,21290.0
의료기기,202602,인공관절,2074708.0,3415.0
의료기기,202602,정형외과·골절치료 기기,1701030.0,32504.0
의료기기,202602,기타 의료기기,84808228.0,588352.0
의료기기,202601,기타 의료기기,86690414.0,672840.0
의료기기,202601,CT,1576661.0,24036.0
의료기기,202601,정형외과·골절치료 기기,2218779.0,40786.0
의료기기,202601,인공관절,766884.0,951.0
의료기기,202601,초음파·진단,80758285.0,426615.0
의료기기,202601,치과용,19237530.0,213152.0
의료기기,202512,치과용,21177529.0,147380.0
의료기기,202512,초음파·진단,66772859.0,328154.0
의료기기,202512,CT,2503445.0,35802.0
의료기기,202512,인공관절,1453127.0,1831.0
의료기기,202512,정형외과·골절치료 기기,3772517.0,54002.0
의료기기,202512,기타 의료기기,154357818.0,1108366.0
의료기기,202511,인공관절,2158321.0,3493.0
의료기기,202511,기타 의료기기,110861347.0,953274.0
의료기기,202511,정형외과·골절치료 기기,1808892.0,40894.0
의료기기,202511,치과용,17661404.0,208371.0
의료기기,202511,CT,2922920.0,40626.0
의료기기,202511,초음파·진단,77622996.0,428070.0
의료기기,202510,인공관절,936344.0,1396.0
의료기기,202510,기타 의료기기,86187524.0,643363.0
의료기기,202510,정형외과·골절치료 기기,1739208.0,28347.0
의료기기,202510,CT,3486920.0,41447.0
의료기기,202510,초음파·진단,70293927.0,404021.0
의료기기,202510,치과용,17184568.0,152147.0
의료기기,202509,치과용,22317922.0,165770.0
의료기기,202509,초음파·진단,92600844.0,406025.0
의료기기,202509,CT,2709565.0,32452.0
의료기기,202509,인공관절,2092658.0,2765.0
의료기기,202509,정형외과·골절치료 기기,2502218.0,39189.0
의료기기,202509,기타 의료기기,131215179.0,922768.0
의료기기,202508,치과용,13667262.0,160782.0
의료기기,202508,초음파·진단,60482309.0,298062.0
의료기기,202508,CT,1877414.0,28548.0
의료기기,202508,인공관절,2155740.0,3450.0
의료기기,202508,정형외과·골절치료 기기,1545194.0,27253.0
의료기기,202508,기타 의료기기,74900504.0,628636.0
의료기기,202507,기타 의료기기,85787890.0,781143.0
의료기기,202507,인공관절,2208911.0,2875.0
의료기기,202507,정형외과·골절치료 기기,1796975.0,36324.0
의료기기,202507,치과용,21404546.0,221554.0
의료기기,202507,CT,3309798.0,45158.0
의료기기,202507,초음파·진단,82803971.0,461310.0
의료기기,202506,치과용,20306899.0,241278.0
의료기기,202506,초음파·진단,68945077.0,295144.0
의료기기,202506,CT,4354240.0,42588.0
의료기기,202506,인공관절,2128713.0,2788.0
의료기기,202506,정형외과·골절치료 기기,1647900.0,26116.0
의료기기,202506,기타 의료기기,116825383.0,803580.0
의료기기,202505,CT,2877171.0,40016.0
의료기기,202505,정형외과·골절치료 기기,1822600.0,31155.0
의료기기,202505,인공관절,1064885.0,1190.0
의료기기,202505,기타 의료기기,83708349.0,561834.0
의료기기,202505,초음파·진단,69001128.0,341212.0
의료기기,202505,치과용,17768749.0,222127.0
의료기기,202504,CT,2321825.0,31655.0
의료기기,202504,정형외과·골절치료 기기,2102458.0,39538.0
의료기기,202504,인공관절,1631393.0,1703.0
의료기기,202504,기타 의료기기,89857221.0,553410.0
의료기기,202504,초음파·진단,87079984.0,470455.0
의료기기,202504,치과용,25002584.0,307252.0
의료기기,202503,치과용,21057558.0,274570.0
의료기기,202503,초음파·진단,66037818.0,296238.0
의료기기,202503,CT,2954077.0,38921.0
의료기기,202503,인공관절,1459253.0,1931.0
의료기기,202503,정형외과·골절치료 기기,1348865.0,31612.0
의료기기,202503,기타 의료기기,102899122.0,554505.0
의료기기,202502,CT,2865592.0,29527.0
의료기기,202502,정형외과·골절치료 기기,1402690.0,52288.0
의료기기,202502,인공관절,4771441.0,6531.0
의료기기,202502,기타 의료기기,83477984.0,673533.0
의료기기,202502,초음파·진단,80955412.0,419101.0
의료기기,202502,치과용,20766188.0,224240.0
의료기기,202501,CT,1260361.0,15758.0
의료기기,202501,정형외과·골절치료 기기,1085018.0,26176.0
의료기기,202501,인공관절,579172.0,695.0
의료기기,202501,기타 의료기기,62572467.0,603910.0
의료기기,202501,초음파·진단,65321273.0,366127.0
의료기기,202501,치과용,17595280.0,197435.0
의료기기,202412,치과용,28857181.0,227428.0
의료기기,202412,초음파·진단,62207187.0,301134.0
의료기기,202412,CT,2080247.0,26240.0
의료기기,202412,인공관절,2661757.0,3431.0
의료기기,202412,정형외과·골절치료 기기,1561321.0,40103.0
의료기기,202412,기타 의료기기,112181748.0,949234.0
의료기기,202411,기타 의료기기,95764836.0,845570.0
의료기기,202411,정형외과·골절치료 기기,1465583.0,37438.0
의료기기,202411,인공관절,1954777.0,2351.0
의료기기,202411,CT,2581301.0,26140.0
의료기기,202411,초음파·진단,75947030.0,384666.0
의료기기,202411,치과용,22883860.0,210914.0
의료기기,202410,CT,2114275.0,31112.0
의료기기,202410,정형외과·골절치료 기기,1211301.0,38793.0
의료기기,202410,인공관절,2360549.0,2090.0
의료기기,202410,기타 의료기기,89212327.0,830079.0
의료기기,202410,초음파·진단,63598952.0,380859.0
의료기기,202410,치과용,23404680.0,206825.0
의료기기,202409,치과용,21199910.0,164401.0
의료기기,202409,초음파·진단,61542706.0,299341.0
의료기기,202409,CT,2144596.0,22767.0
의료기기,202409,인공관절,3908616.0,2086.0
의료기기,202409,정형외과·골절치료 기기,957417.0,32476.0
의료기기,202409,기타 의료기기,82620961.0,611223.0
의료기기,202408,인공관절,2720462.0,1048.0
의료기기,202408,기타 의료기기,87888750.0,596953.0
