sector,yyyymm,group,exp_usd,exp_wgt
이차전지,202606,분리막(*),nan,nan
이차전지,202606,양극재(*),nan,nan
이차전지,202606,탄산리튬,nan,nan
이차전지,202606,수산화·산화리튬,nan,nan
이차전지,202606,리튬이온 완제품,nan,nan
이차전지,202605,분리막(*),19960728.0,4868798.0
이차전지,202605,양극재(*),nan,nan
이차전지,202605,탄산리튬,45036852.0,2155311.0
이차전지,202605,수산화·산화리튬,70798689.0,4115200.0
이차전지,202605,리튬이온 완제품,433235249.0,16669997.0
이차전지,202604,수산화·산화리튬,58956167.0,3607019.0
이차전지,202604,리튬이온 완제품,363752949.0,12388781.0
이차전지,202604,탄산리튬,17621327.0,893826.0
이차전지,202604,양극재(*),nan,nan
이차전지,202604,분리막(*),22073598.0,5545190.0
이차전지,202603,분리막(*),20488985.0,5456558.0
이차전지,202603,양극재(*),nan,nan
이차전지,202603,탄산리튬,21528130.0,1460372.0
이차전지,202603,수산화·산화리튬,47588524.0,2738234.0
이차전지,202603,리튬이온 완제품,544054765.0,20578554.0
이차전지,202602,분리막(*),16012838.0,4337437.0
이차전지,202602,양극재(*),nan,nan
이차전지,202602,탄산리튬,8922696.0,615486.0
이차전지,202602,수산화·산화리튬,17648682.0,1464723.0
이차전지,202602,리튬이온 완제품,366005816.0,13866648.0
이차전지,202601,탄산리튬,9514259.0,702353.0
이차전지,202601,리튬이온 완제품,297511635.0,11303639.0
이차전지,202601,수산화·산화리튬,45555526.0,4039785.0
이차전지,202601,양극재(*),nan,nan
이차전지,202601,분리막(*),20258954.0,5031762.0
이차전지,202512,분리막(*),21762417.0,5882909.0
이차전지,202512,양극재(*),nan,nan
이차전지,202512,탄산리튬,11928559.0,1089341.0
이차전지,202512,수산화·산화리튬,44619651.0,4871199.0
이차전지,202512,리튬이온 완제품,453254790.0,18630924.0
이차전지,202511,분리막(*),19599823.0,5190664.0
이차전지,202511,양극재(*),nan,nan
이차전지,202511,탄산리튬,9768550.0,915088.0
이차전지,202511,수산화·산화리튬,4423675.0,501284.0
이차전지,202511,리튬이온 완제품,434965870.0,16748446.0
이차전지,202510,수산화·산화리튬,3483775.0,475395.0
이차전지,202510,리튬이온 완제품,332392107.0,14117530.0
이차전지,202510,탄산리튬,9929154.0,1043171.0
이차전지,202510,양극재(*),nan,nan
이차전지,202510,분리막(*),16401011.0,4319603.0
이차전지,202509,분리막(*),21837654.0,5445079.0
이차전지,202509,양극재(*),nan,nan
이차전지,202509,탄산리튬,9890233.0,1053121.0
이차전지,202509,수산화·산화리튬,1714397.0,212411.0
이차전지,202509,리튬이온 완제품,369050330.0,14616014.0
이차전지,202508,분리막(*),17044148.0,4396129.0
이차전지,202508,양극재(*),nan,nan
이차전지,202508,탄산리튬,8442628.0,961753.0
이차전지,202508,수산화·산화리튬,321428.0,68620.0
이차전지,202508,리튬이온 완제품,290262523.0,11322025.0
이차전지,202507,탄산리튬,9242521.0,1077560.0
이차전지,202507,리튬이온 완제품,337747952.0,13566579.0
이차전지,202507,수산화·산화리튬,446995.0,40000.0
이차전지,202507,분리막(*),19681323.0,5061025.0
이차전지,202507,양극재(*),nan,nan
이차전지,202506,분리막(*),18137623.0,4644503.0
이차전지,202506,양극재(*),nan,nan
이차전지,202506,탄산리튬,5705530.0,595590.0
이차전지,202506,수산화·산화리튬,3243035.0,248117.0
이차전지,202506,리튬이온 완제품,353384032.0,13410824.0
이차전지,202505,분리막(*),19078807.0,5123519.0
이차전지,202505,양극재(*),nan,nan
이차전지,202505,탄산리튬,4431972.0,500820.0
이차전지,202505,수산화·산화리튬,9761719.0,383001.0
이차전지,202505,리튬이온 완제품,283756687.0,9986583.0
이차전지,202504,수산화·산화리튬,15489852.0,617971.0
이차전지,202504,리튬이온 완제품,398530882.0,13676498.0
이차전지,202504,탄산리튬,13357152.0,1464191.0
이차전지,202504,양극재(*),nan,nan
이차전지,202504,분리막(*),20357383.0,5538688.0
이차전지,202503,분리막(*),18181897.0,4585891.0
이차전지,202503,양극재(*),nan,nan
이차전지,202503,탄산리튬,14413197.0,1488918.0
이차전지,202503,수산화·산화리튬,3097012.0,381578.0
이차전지,202503,리튬이온 완제품,369584294.0,14689460.0
이차전지,202502,분리막(*),19721676.0,5449026.0
이차전지,202502,양극재(*),nan,nan
이차전지,202502,탄산리튬,9720397.0,965530.0
이차전지,202502,수산화·산화리튬,1932003.0,207599.0
이차전지,202502,리튬이온 완제품,367375799.0,13795166.0
이차전지,202501,탄산리튬,8979139.0,863275.0
이차전지,202501,리튬이온 완제품,296028843.0,11820264.0
이차전지,202501,수산화·산화리튬,7259021.0,711593.0
이차전지,202501,분리막(*),17872264.0,4980100.0
이차전지,202501,양극재(*),nan,nan
이차전지,202412,분리막(*),20618280.0,5631376.0
이차전지,202412,양극재(*),nan,nan
이차전지,202412,탄산리튬,25271775.0,820849.0
이차전지,202412,수산화·산화리튬,6135578.0,652873.0
이차전지,202412,리튬이온 완제품,574203223.0,24442000.0
이차전지,202411,분리막(*),18762829.0,4782520.0
이차전지,202411,양극재(*),nan,nan
이차전지,202411,탄산리튬,3394189.0,366621.0
이차전지,202411,수산화·산화리튬,9981784.0,864576.0
이차전지,202411,리튬이온 완제품,410027316.0,16851683.0
이차전지,202410,탄산리튬,3851897.0,440208.0
