sector,yyyymm,group,exp_usd,exp_wgt
자동차,202606,차체부품,nan,nan
자동차,202606,구동축,nan,nan
자동차,202606,기어박스,nan,nan
자동차,202606,자동차부품(전체),nan,nan
자동차,202606,승용차 완성차,nan,nan
자동차,202605,차체부품,215228050.0,34602520.0
자동차,202605,구동축,138748831.0,23046586.0
자동차,202605,기어박스,232254321.0,21305263.0
자동차,202605,자동차부품(전체),1307228000.0,177457236.0
자동차,202605,승용차 완성차,5492266174.0,440864611.0
자동차,202604,자동차부품(전체),1590160014.0,211299572.0
자동차,202604,승용차 완성차,5843132201.0,479906538.0
자동차,202604,기어박스,283156310.0,25269370.0
자동차,202604,구동축,174677209.0,28495532.0
자동차,202604,차체부품,271756638.0,43993346.0
자동차,202603,차체부품,249613895.0,38727372.0
자동차,202603,구동축,171079732.0,28045974.0
자동차,202603,기어박스,276438371.0,24438665.0
자동차,202603,자동차부품(전체),1505450533.0,195606682.0
자동차,202603,승용차 완성차,6078469685.0,489737874.0
자동차,202602,차체부품,197956558.0,32074294.0
자동차,202602,구동축,135115466.0,22375563.0
자동차,202602,기어박스,221368892.0,19260466.0
자동차,202602,자동차부품(전체),1206196452.0,162402494.0
자동차,202602,승용차 완성차,4503110268.0,364558727.0
자동차,202601,기어박스,249931882.0,22060075.0
자동차,202601,승용차 완성차,5743764560.0,461137212.0
자동차,202601,자동차부품(전체),1366963211.0,185514055.0
자동차,202601,구동축,164318518.0,26649971.0
자동차,202601,차체부품,223832910.0,35973724.0
자동차,202512,차체부품,246841473.0,37850916.0
자동차,202512,구동축,164723315.0,26694894.0
자동차,202512,기어박스,271234419.0,23766632.0
자동차,202512,자동차부품(전체),1541096221.0,206091775.0
자동차,202512,승용차 완성차,5587815030.0,463093003.0
자동차,202511,차체부품,199652387.0,30672419.0
자동차,202511,구동축,139338794.0,22546905.0
자동차,202511,기어박스,242229686.0,21245659.0
자동차,202511,자동차부품(전체),1307094628.0,172038475.0
자동차,202511,승용차 완성차,6043663013.0,484414530.0
자동차,202510,자동차부품(전체),1267387478.0,168567132.0
