yyyymm,country_code,country_name,exp_usd,exp_wgt,sector
202605,TW,대만,1700000.0,393000.0,조선
202605,SG,싱가포르,126950052.0,27800001.0,조선
202605,MT,몰타,240000000.0,34256000.0,조선
202605,MH,마샬군도,246283156.0,30585000.0,조선
202605,JP,일본,452.0,2.0,조선
202605,CN,중국,0.0,0.0,조선
202605,AU,호주,0.0,0.0,조선
202605,AE,아랍에미리트 연합,700000.0,3559000.0,조선
202604,LR,라이베리아,129528895.0,80968000.0,조선
202604,AU,호주,0.0,0.0,조선
202604,BD,방글라데시,1695000.0,4416000.0,조선
202604,JP,일본,6138.0,15.0,조선
202604,CN,중국,0.0,0.0,조선
202604,PH,필리핀,857089.0,177000.0,조선
202604,PK,파키스탄,1096693.0,107851.0,조선
202604,SG,싱가포르,199460010.0,183784500.0,조선
202603,SG,싱가포르,933.0,9.0,조선
202603,MT,몰타,173505053.0,39051000.0,조선
202603,LR,라이베리아,187450000.0,44573600.0,조선
202603,JP,일본,437.0,4.0,조선
202603,IN,인도,0.0,0.0,조선
202603,CN,중국,0.0,0.0,조선
202603,BD,방글라데시,73847570.0,35486000.0,조선
202603,AU,호주,43750000.0,48824000.0,조선
202602,MH,마샬군도,247325193.0,31300000.0,조선
202602,AE,아랍에미리트 연합,140.0,6.0,조선
202602,CN,중국,0.0,0.0,조선
202602,JP,일본,0.0,0.0,조선
202602,SG,싱가포르,199031551.0,183575100.0,조선
202602,MT,몰타,173552585.0,39051000.0,조선
202602,TW,대만,1397874.0,1186436.0,조선
202601,DE,독일,0.0,0.0,조선
202601,AU,호주,38000000.0,48824000.0,조선
202601,BD,방글라데시,978670.0,2448000.0,조선
202601,CN,중국,40000000.0,54519000.0,조선
202601,AE,아랍에미리트 연합,2054654.0,2006000.0,조선
202601,JP,일본,321.0,10.0,조선
202601,LR,라이베리아,321028042.0,97696400.0,조선
202601,SG,싱가포르,6616252.0,43462000.0,조선
202601,TW,대만,1830000.0,1880000.0,조선
202512,SG,싱가포르,195072776.0,184494500.0,조선
202512,MT,몰타,171349100.0,39051000.0,조선
202512,MH,마샬군도,243006539.0,31300000.0,조선
202512,LR,라이베리아,56483064.0,9644000.0,조선
202512,JP,일본,0.0,0.0,조선
202512,DK,덴마크,195550000.0,50484200.0,조선
202512,CN,중국,0.0,0.0,조선
202511,LR,라이베리아,62000000.0,111586000.0,조선
202511,CN,중국,13737500.0,19743000.0,조선
202511,FR,프랑스,228661348.0,32145000.0,조선
202511,HK,홍콩,0.0,0.0,조선
202511,JP,일본,5445000.0,8462000.0,조선
202511,PH,필리핀,1220000.0,230000.0,조선
202511,MT,몰타,173473711.0,39051000.0,조선
202511,RU,러시아 연방,0.0,0.0,조선
202511,TW,대만,0.0,0.0,조선
202510,LR,라이베리아,355600000.0,95850400.0,조선
202510,CN,중국,0.0,0.0,조선
202510,DK,덴마크,195550000.0,50484200.0,조선
202510,FR,프랑스,224281843.0,35499000.0,조선
202510,ID,인도네시아,13737500.0,19743000.0,조선
202510,JP,일본,0.0,0.0,조선
202510,MH,마샬군도,100082295.0,18500000.0,조선
202510,PK,파키스탄,27241.0,6400.0,조선
202510,SG,싱가포르,194740391.0,184267800.0,조선
202510,ZA,남아프리카공화국,0.0,0.0,조선
202509,JP,일본,0.0,0.0,조선
202509,AE,아랍에미리트 연합,647235.0,3231000.0,조선
202509,CN,중국,0.0,0.0,조선
202509,DK,덴마크,195550000.0,50484200.0,조선
202509,FR,프랑스,126230955.0,24715000.0,조선
202509,SG,싱가포르,124115062.0,155806200.0,조선
202509,LR,라이베리아,223712320.0,170824200.0,조선
202509,MT,몰타,173458523.0,39051000.0,조선
202509,NL,네덜란드,3850000.0,2224000.0,조선
202509,PA,파나마,0.0,0.0,조선
202508,LR,라이베리아,232283064.0,57569200.0,조선
202508,CN,중국,0.0,0.0,조선
202508,DK,덴마크,195550000.0,50484200.0,조선
202508,FR,프랑스,482699047.0,95863000.0,조선
202508,JP,일본,0.0,0.0,조선
202508,SG,싱가포르,458396863.0,367648700.0,조선
202508,MH,마샬군도,116045413.0,40056000.0,조선
202508,NL,네덜란드,5500000.0,4608000.0,조선
202508,PH,필리핀,75000.0,12000.0,조선
202508,RU,러시아 연방,4850000.0,5476000.0,조선
202507,BS,바하마,115850210.0,21193000.0,조선
202507,CN,중국,0.0,0.0,조선
202507,DK,덴마크,195550000.0,50484200.0,조선
202507,JP,일본,9500000.0,5169000.0,조선
202507,LR,라이베리아,177800000.0,47925200.0,조선
202507,PG,파푸아 뉴기니,900000.0,325000.0,조선
202507,SG,싱가포르,124264484.0,155856000.0,조선
202507,TW,대만,35000000.0,25275000.0,조선
202507,UY,우루과이,0.0,0.0,조선
202506,JP,일본,1602.0,1.0,조선
202506,AU,호주,0.0,0.0,조선
202506,CA,캐나다,22100000.0,43956000.0,조선
202506,CN,중국,0.0,0.0,조선
202506,CO,콜롬비아,39800000.0,79340000.0,조선
202506,FR,프랑스,126266579.0,24715000.0,조선
202506,DK,덴마크,195550000.0,50897300.0,조선
202506,LR,라이베리아,364570100.0,93666200.0,조선
