sector,yyyymm,group,exp_usd,exp_wgt
조선,202606,선박엔진,nan,nan
조선,202606,해양구조물,nan,nan
조선,202606,어선·작업선,nan,nan
조선,202606,탱커,nan,nan
조선,202606,기타선박(LNG·컨테이너),nan,nan
조선,202605,선박엔진,91777891.0,8039705.0
조선,202605,해양구조물,0.0,0.0
조선,202605,어선·작업선,0.0,0.0
조선,202605,탱커,1838928377.0,492493100.0
조선,202605,기타선박(LNG·컨테이너),615633660.0,96593003.0
조선,202604,탱커,2281750013.0,776285600.0
조선,202604,기타선박(LNG·컨테이너),332643825.0,269453366.0
조선,202604,어선·작업선,0.0,0.0
조선,202604,해양구조물,8504486.0,5350036.0
조선,202604,선박엔진,108050628.0,9615987.0
조선,202603,선박엔진,98009460.0,7995183.0
조선,202603,해양구조물,750723772.0,26277000.0
조선,202603,어선·작업선,5350000.0,333000.0
조선,202603,탱커,2116793648.0,603813800.0
조선,202603,기타선박(LNG·컨테이너),478553993.0,167934614.0
조선,202602,선박엔진,57123261.0,4768482.0
조선,202602,해양구조물,1373.0,74.0
조선,202602,어선·작업선,0.0,0.0
조선,202602,탱커,1478873633.0,376125700.0
조선,202602,기타선박(LNG·컨테이너),621307343.0,255112542.0
조선,202601,어선·작업선,456607.0,310000.0
조선,202601,기타선박(LNG·컨테이너),410507939.0,250835410.0
조선,202601,탱커,1804418186.0,454102700.0
조선,202601,해양구조물,55254.0,640.0
조선,202601,선박엔진,105354136.0,9673531.0
조선,202512,선박엔진,126592717.0,10800556.0
조선,202512,해양구조물,58247.0,430.0
조선,202512,어선·작업선,11056.0,2000.0
조선,202512,탱커,1970477933.0,633581000.0
조선,202512,기타선박(LNG·컨테이너),861461479.0,314973700.0
조선,202511,선박엔진,114283699.0,10997015.0
조선,202511,해양구조물,324405894.0,28637500.0
조선,202511,어선·작업선,0.0,0.0
조선,202511,탱커,866011000.0,205745600.0
조선,202511,기타선박(LNG·컨테이너),484537559.0,211217000.0
조선,202510,탱커,1028279389.0,421675500.0
조선,202510,기타선박(LNG·컨테이너),1084019270.0,404350800.0
조선,202510,어선·작업선,0.0,0.0
조선,202510,해양구조물,2465410800.0,151014000.0
조선,202510,선박엔진,56510354.0,4770487.0
조선,202509,선박엔진,107687013.0,10145314.0
조선,202509,해양구조물,15000.0,25.0
조선,202509,어선·작업선,4200000.0,289000.0
조선,202509,탱커,1626539321.0,600944700.0
조선,202509,기타선박(LNG·컨테이너),847564095.0,446335600.0
조선,202508,선박엔진,132828540.0,13622372.0
조선,202508,해양구조물,1226.0,56.0
조선,202508,어선·작업선,0.0,0.0
조선,202508,탱커,1445207358.0,517982000.0
조선,202508,기타선박(LNG·컨테이너),1495399387.0,621717100.0
조선,202507,어선·작업선,8493414.0,983000.0
조선,202507,기타선박(LNG·컨테이너),658864694.0,306227400.0
조선,202507,탱커,1365165211.0,485091400.0
조선,202507,선박엔진,105285155.0,9652557.0
조선,202507,해양구조물,37145.0,4770.0
조선,202506,선박엔진,158818525.0,15783362.0
조선,202506,해양구조물,5404541.0,1657115.0
조선,202506,어선·작업선,8045555.0,1082010.0
조선,202506,탱커,989402022.0,417513100.0
조선,202506,기타선박(LNG·컨테이너),1282121899.0,565251801.0
조선,202505,선박엔진,58811742.0,5600153.0
조선,202505,해양구조물,232783.0,29979.0
조선,202505,어선·작업선,nan,nan
조선,202505,탱커,672652411.0,243256300.0
조선,202505,기타선박(LNG·컨테이너),1448362179.0,778710900.0
조선,202504,탱커,982267910.0,477486400.0
조선,202504,기타선박(LNG·컨테이너),611688034.0,292819432.0
조선,202504,어선·작업선,4578328.0,468000.0
조선,202504,해양구조물,200500000.0,41498670.0
조선,202504,선박엔진,153041635.0,15066438.0
조선,202503,선박엔진,105537655.0,11386131.0
조선,202503,해양구조물,0.0,0.0
조선,202503,어선·작업선,420000.0,154000.0
조선,202503,탱커,1111387085.0,352897600.0
조선,202503,기타선박(LNG·컨테이너),1656482072.0,794955900.0
조선,202502,선박엔진,69928976.0,6587111.0
조선,202502,해양구조물,nan,nan
조선,202502,어선·작업선,420000.0,147000.0
조선,202502,탱커,655510134.0,317013300.0
조선,202502,기타선박(LNG·컨테이너),770529964.0,391942900.0
조선,202501,어선·작업선,nan,nan
조선,202501,기타선박(LNG·컨테이너),1260410799.0,400940613.0
조선,202501,탱커,751588204.0,281061400.0
조선,202501,선박엔진,73174362.0,8977932.0
조선,202501,해양구조물,341515495.0,29016011.0
조선,202412,선박엔진,101678933.0,10127732.0
조선,202412,해양구조물,892574685.0,83787020.0
조선,202412,어선·작업선,298328.0,5000.0
조선,202412,탱커,112582119.0,94162000.0
조선,202412,기타선박(LNG·컨테이너),1918348391.0,975259800.0
조선,202411,선박엔진,71494587.0,7597083.0
조선,202411,해양구조물,105376.0,164.0
조선,202411,어선·작업선,567422.0,264031.0
조선,202411,탱커,1032766518.0,222336900.0
조선,202411,기타선박(LNG·컨테이너),1361528874.0,654475900.0
조선,202410,어선·작업선,3350000.0,253055.0
