sector,yyyymm,group,exp_usd,exp_wgt
철강,202606,강관,nan,nan
철강,202606,스테인리스 열연,nan,nan
철강,202606,도금강판,nan,nan
철강,202606,냉연강판,nan,nan
철강,202606,열연강판,nan,nan
철강,202605,강관,220782049.0,185832045.0
철강,202605,스테인리스 열연,137469101.0,69062676.0
철강,202605,도금강판,433988304.0,473201304.0
철강,202605,냉연강판,172136847.0,276950868.0
철강,202605,열연강판,367383321.0,558353879.0
철강,202604,냉연강판,181312794.0,288705303.0
철강,202604,열연강판,402602935.0,646274689.0
철강,202604,도금강판,516589879.0,521124015.0
철강,202604,스테인리스 열연,139602984.0,75518990.0
철강,202604,강관,218333894.0,189929976.0
철강,202603,강관,202878111.0,166543290.0
철강,202603,스테인리스 열연,139123823.0,76519397.0
철강,202603,도금강판,492961584.0,532138907.0
철강,202603,냉연강판,162335654.0,264449530.0
철강,202603,열연강판,410043040.0,674984715.0
철강,202602,강관,159252827.0,130504873.0
철강,202602,스테인리스 열연,138657001.0,74947057.0
철강,202602,도금강판,454642868.0,492849149.0
철강,202602,냉연강판,175084794.0,283830938.0
철강,202602,열연강판,412225652.0,681672449.0
철강,202601,도금강판,491610379.0,517057036.0
철강,202601,열연강판,448103891.0,743383101.0
철강,202601,냉연강판,168839560.0,272044008.0
철강,202601,스테인리스 열연,121694149.0,65721794.0
철강,202601,강관,176741178.0,152898861.0
철강,202512,강관,228277091.0,185375632.0
철강,202512,스테인리스 열연,127639900.0,69248868.0
철강,202512,도금강판,502753340.0,540912801.0
철강,202512,냉연강판,144179901.0,243160546.0
철강,202512,열연강판,476778486.0,803652470.0
철강,202511,강관,164259025.0,130180596.0
철강,202511,스테인리스 열연,141744768.0,78891987.0
철강,202511,도금강판,431107807.0,465424455.0
철강,202511,냉연강판,142345875.0,227395607.0
철강,202511,열연강판,401882891.0,678563847.0
철강,202510,냉연강판,171235912.0,282639221.0
철강,202510,열연강판,376101733.0,622120276.0
철강,202510,도금강판,497270741.0,529684782.0
철강,202510,스테인리스 열연,148130062.0,82136003.0
철강,202510,강관,128650283.0,103614122.0
철강,202509,강관,181801025.0,135243570.0
철강,202509,스테인리스 열연,163985509.0,90573901.0
철강,202509,도금강판,464989352.0,484923501.0
철강,202509,냉연강판,193456687.0,315145433.0
철강,202509,열연강판,506280202.0,880004305.0
철강,202508,강관,145201737.0,107264212.0
철강,202508,스테인리스 열연,145631524.0,77258634.0
철강,202508,도금강판,495817185.0,513827633.0
철강,202508,냉연강판,180369538.0,291282193.0
철강,202508,열연강판,413288983.0,681409094.0
철강,202507,도금강판,559425331.0,575533034.0
철강,202507,열연강판,521295139.0,836177256.0
철강,202507,냉연강판,180816531.0,281722691.0
철강,202507,강관,202290976.0,147769258.0
철강,202507,스테인리스 열연,171569784.0,89221418.0
철강,202506,강관,206318074.0,155361626.0
철강,202506,스테인리스 열연,128961251.0,67224682.0
철강,202506,도금강판,458143378.0,463750216.0
철강,202506,냉연강판,173194610.0,265716179.0
철강,202506,열연강판,427305718.0,655611402.0
철강,202505,강관,192027442.0,148940293.0
철강,202505,스테인리스 열연,123321807.0,65904594.0
철강,202505,도금강판,516117455.0,541830434.0
철강,202505,냉연강판,203972756.0,305721386.0
철강,202505,열연강판,466536207.0,719887475.0
철강,202504,냉연강판,209344438.0,319256895.0
철강,202504,열연강판,475856784.0,773635943.0
철강,202504,도금강판,553691250.0,569358630.0
철강,202504,스테인리스 열연,155862881.0,84325455.0
철강,202504,강관,243679310.0,177929541.0
철강,202503,강관,242635473.0,179193259.0
철강,202503,스테인리스 열연,143543993.0,79581988.0
철강,202503,도금강판,464785153.0,476789622.0
철강,202503,냉연강판,170247753.0,258300097.0
철강,202503,열연강판,453299341.0,740123337.0
철강,202502,강관,203858321.0,146657691.0
철강,202502,스테인리스 열연,149075301.0,83846707.0
철강,202502,도금강판,480249497.0,479869272.0
철강,202502,냉연강판,178416096.0,263793469.0
철강,202502,열연강판,463475345.0,766379010.0
철강,202501,도금강판,516738177.0,530891037.0
철강,202501,열연강판,476148973.0,793419694.0
철강,202501,냉연강판,197601163.0,293271177.0
철강,202501,강관,190861534.0,142329013.0
철강,202501,스테인리스 열연,133956327.0,73360693.0
철강,202412,강관,205112424.0,161544810.0
철강,202412,스테인리스 열연,168412718.0,91116195.0
철강,202412,도금강판,521407902.0,552455993.0
철강,202412,냉연강판,196591979.0,294574676.0
철강,202412,열연강판,521804359.0,862756735.0
철강,202411,강관,238039301.0,186155166.0
철강,202411,스테인리스 열연,178417098.0,95542361.0
철강,202411,도금강판,479736386.0,490323022.0
철강,202411,냉연강판,178516093.0,271279951.0
철강,202411,열연강판,482338103.0,796738109.0
철강,202410,도금강판,555438730.0,559288506.0
철강,202410,열연강판,506295196.0,790937884.0
철강,202410,냉연강판,194904711.0,272150794.0
철강,202410,강관,200130777.0,146350057.0
철강,202410,스테인리스 열연,178459923.0,93287299.0
철강,202409,강관,162562757.0,119123315.0
철강,202409,스테인리스 열연,175525975.0,89049108.0
철강,202409,도금강판,521223948.0,506071497.0
철강,202409,냉연강판,219504117.0,295606617.0
철강,202409,열연강판,519379106.0,778185814.0
철강,202408,도금강판,591246381.0,567321457.0
철강,202408,열연강판,500333280.0,756706953.0
철강,202408,냉연강판,240215798.0,320893727.0
철강,202408,스테인리스 열연,163080218.0,83490057.0
철강,202408,강관,189656891.0,134359552.0
철강,202407,강관,205518635.0,152286462.0
철강,202407,스테인리스 열연,167022223.0,85260893.0
철강,202407,도금강판,568382764.0,546720743.0
철강,202407,냉연강판,211836363.0,285796937.0
철강,202407,열연강판,473984151.0,706330371.0
철강,202406,강관,207098397.0,154478187.0
철강,202406,스테인리스 열연,91553827.0,46285540.0
철강,202406,도금강판,533185071.0,506783161.0
철강,202406,냉연강판,192627909.0,258517520.0
철강,202406,열연강판,456701834.0,668857915.0
철강,202405,냉연강판,184247444.0,240526382.0
철강,202405,열연강판,516468294.0,709857644.0
철강,202405,도금강판,545576967.0,509195687.0
철강,202405,스테인리스 열연,133462575.0,69388442.0
철강,202405,강관,211353986.0,162035715.0
철강,202404,강관,210421737.0,155247595.0
철강,202404,스테인리스 열연,149741336.0,78417934.0
철강,202404,도금강판,580594572.0,542428073.0
철강,202404,냉연강판,195159077.0,254428415.0
철강,202404,열연강판,467821479.0,639379089.0
철강,202403,강관,231289654.0,170418555.0
철강,202403,스테인리스 열연,151605314.0,78523128.0
철강,202403,도금강판,604220268.0,580005934.0
철강,202403,냉연강판,223480023.0,294896334.0
철강,202403,열연강판,549421483.0,735742548.0
철강,202402,도금강판,541543835.0,516262774.0
철강,202402,열연강판,510676114.0,684367278.0
