yyyymm,month,category,imp_usd
202606,2026-06,장비부품·소모성,nan
202606,2026-06,반도체장비(전공정),nan
202605,2026-05,장비부품·소모성,494498617.0
202605,2026-05,반도체장비(전공정),1861022788.0
202604,2026-04,장비부품·소모성,505117807.0
202604,2026-04,반도체장비(전공정),1798469462.0
202603,2026-03,장비부품·소모성,517253590.0
202603,2026-03,반도체장비(전공정),2136557927.0
202602,2026-02,장비부품·소모성,430824111.0
202602,2026-02,반도체장비(전공정),1977477597.0
202601,2026-01,장비부품·소모성,459437947.0
202601,2026-01,반도체장비(전공정),1713933108.0
202512,2025-12,장비부품·소모성,484867428.0
202512,2025-12,반도체장비(전공정),1572744543.0
202511,2025-11,장비부품·소모성,443027187.0
202511,2025-11,반도체장비(전공정),1240848977.0
202510,2025-10,장비부품·소모성,497807654.0
202510,2025-10,반도체장비(전공정),1037019384.0
202509,2025-09,장비부품·소모성,422616326.0
202509,2025-09,반도체장비(전공정),1715856382.0
202508,2025-08,반도체장비(전공정),715120831.0
202508,2025-08,장비부품·소모성,376017545.0
202507,2025-07,장비부품·소모성,533625560.0
202507,2025-07,반도체장비(전공정),920846968.0
202506,2025-06,장비부품·소모성,446453679.0
202506,2025-06,반도체장비(전공정),1291343412.0
202505,2025-05,장비부품·소모성,434477196.0
202505,2025-05,반도체장비(전공정),937202459.0
202504,2025-04,장비부품·소모성,377635833.0
202504,2025-04,반도체장비(전공정),1037351269.0
202503,2025-03,반도체장비(전공정),2233072332.0
202503,2025-03,장비부품·소모성,336105427.0
202502,2025-02,장비부품·소모성,408234162.0
202502,2025-02,반도체장비(전공정),1219188900.0
202501,2025-01,장비부품·소모성,287671216.0
202501,2025-01,반도체장비(전공정),946865870.0
202412,2024-12,장비부품·소모성,378474690.0
202412,2024-12,반도체장비(전공정),1751848585.0
202411,2024-11,장비부품·소모성,331211694.0
202411,2024-11,반도체장비(전공정),1440402146.0
202410,2024-10,장비부품·소모성,365053306.0
202410,2024-10,반도체장비(전공정),1000285726.0
202409,2024-09,장비부품·소모성,355647474.0
202409,2024-09,반도체장비(전공정),1417124320.0
202408,2024-08,장비부품·소모성,313245600.0
202408,2024-08,반도체장비(전공정),570677075.0
202407,2024-07,장비부품·소모성,339128038.0
202407,2024-07,반도체장비(전공정),655118589.0
202406,2024-06,장비부품·소모성,350928525.0
202406,2024-06,반도체장비(전공정),958710411.0
202405,2024-05,장비부품·소모성,401901874.0
202405,2024-05,반도체장비(전공정),709969457.0
202404,2024-04,반도체장비(전공정),778604309.0
202404,2024-04,장비부품·소모성,385924406.0
202403,2024-03,장비부품·소모성,354680172.0
202403,2024-03,반도체장비(전공정),966778782.0
202402,2024-02,장비부품·소모성,297797673.0
202402,2024-02,반도체장비(전공정),978516999.0
202401,2024-01,장비부품·소모성,346983274.0
202401,2024-01,반도체장비(전공정),900998553.0
202312,2023-12,장비부품·소모성,334812662.0
202312,2023-12,반도체장비(전공정),1291093985.0
202311,2023-11,장비부품·소모성,287928513.0
202311,2023-11,반도체장비(전공정),656288917.0
202310,2023-10,반도체장비(전공정),650834670.0
202310,2023-10,장비부품·소모성,265038325.0
202309,2023-09,장비부품·소모성,283343502.0
202309,2023-09,반도체장비(전공정),807110563.0
202308,2023-08,장비부품·소모성,279710533.0
202308,2023-08,반도체장비(전공정),690745607.0
202307,2023-07,장비부품·소모성,302811323.0
202307,2023-07,반도체장비(전공정),899359299.0
202306,2023-06,장비부품·소모성,355458401.0
202306,2023-06,반도체장비(전공정),1292711140.0
202305,2023-05,반도체장비(전공정),1418356741.0
202305,2023-05,장비부품·소모성,243119496.0
202304,2023-04,장비부품·소모성,279896148.0
202304,2023-04,반도체장비(전공정),1647743898.0
202303,2023-03,장비부품·소모성,357147322.0
202303,2023-03,반도체장비(전공정),1430909740.0
202302,2023-02,장비부품·소모성,255418867.0
202302,2023-02,반도체장비(전공정),859598035.0
202301,2023-01,장비부품·소모성,281175284.0
202301,2023-01,반도체장비(전공정),851190345.0
202212,2022-12,장비부품·소모성,337937708.0
202212,2022-12,반도체장비(전공정),1766522606.0
202211,2022-11,장비부품·소모성,275180629.0
202211,2022-11,반도체장비(전공정),1138915181.0
202210,2022-10,장비부품·소모성,349913996.0
202210,2022-10,반도체장비(전공정),798410448.0
202209,2022-09,장비부품·소모성,342529243.0
202209,2022-09,반도체장비(전공정),830141591.0
202208,2022-08,장비부품·소모성,385034818.0
